country_x,Code,Income group,Year,country_y,ISO_code_3
Afghanistan,AFG,Low income,2020,Afghanistan,AFG
Albania,ALB,Upper middle income,2020,Albania,ALB
Algeria,DZA,Lower middle income,2020,Algeria,DZA
American Samoa,ASM,Upper middle income,2020,American Samoa,ASM
Andorra,AND,High income,2020,Andorra,AND
Angola,AGO,Lower middle income,2020,Angola,AGO
Antigua and Barbuda,ATG,High income,2020,Antigua and Barbuda,ATG
Argentina,ARG,Upper middle income,2020,Argentina,ARG
Armenia,ARM,Upper middle income,2020,Armenia,ARM
Aruba,ABW,High income,2020,Aruba,ABW
Australia,AUS,High income,2020,Australia,AUS
Austria,AUT,High income,2020,Austria,AUT
Azerbaijan,AZE,Upper middle income,2020,Azerbaijan,AZE
Bahamas,BHS,High income,2020,Bahamas,BHS
Bahrain,BHR,High income,2020,Bahrain,BHR
Bangladesh,BGD,Lower middle income,2020,Bangladesh,BGD
Barbados,BRB,High income,2020,Barbados,BRB
Belarus,BLR,Upper middle income,2020,Belarus,BLR
Belgium,BEL,High income,2020,Belgium,BEL
Belize,BLZ,Upper middle income,2020,Belize,BLZ
Benin,BEN,Lower middle income,2020,Benin,BEN
Bermuda,BMU,High income,2020,Bermuda,BMU
Bhutan,BTN,Lower middle income,2020,Bhutan,BTN
Bolivia,BOL,Lower middle income,2020,Bolivia,BOL
Bosnia and Herzegovina,BIH,Upper middle income,2020,Bosnia and Herzegovina,BIH
Botswana,BWA,Upper middle income,2020,Botswana,BWA
Brazil,BRA,Upper middle income,2020,Brazil,BRA
British Virgin Islands,VGB,High income,2020,Virgin Islands (British),VGB
Brunei,BRN,High income,2020,Brunei Darussalam,BRN
Bulgaria,BGR,Upper middle income,2020,Bulgaria,BGR
Burkina Faso,BFA,Low income,2020,Burkina Faso,BFA
Burundi,BDI,Low income,2020,Burundi,BDI
Cape Verde,CPV,Lower middle income,2020,Cabo Verde,CPV
Cambodia,KHM,Lower middle income,2020,Cambodia,KHM
Cameroon,CMR,Lower middle income,2020,Cameroon,CMR
Canada,CAN,High income,2020,Canada,CAN
Cayman Islands,CYM,High income,2020,Cayman Islands,CYM
Central African Republic,CAF,Low income,2020,Central African Republic,CAF
Chad,TCD,Low income,2020,Chad,TCD
Channel Islands,CHI,High income,2020,,
Chile,CHL,High income,2020,Chile,CHL
