var, type, desc
LAB, labour.and.capital.services.growth, "Labour compensation, NAC mn"
CAP, labour.and.capital.services.growth, "Capital compensation, NAC mn"
LAB_QI, labour.and.capital.services.growth, "Labour services, volume indices, 2010=100"
CAP_QI, labour.and.capital.services.growth, "Capital services, volume indices, 2010=100"
CAPIT_QI, labour.and.capital.services.growth, "ICT capital services, volume indices, 2010=100"
CAPNIT_QI, labour.and.capital.services.growth, "Non-ICT capital services, volume indices, 2010=100"
CAPTang_QI, labour.and.capital.services.growth, "Tangible capital services, volume indices, 2010=100"
CAPIntang_QI, labour.and.capital.services.growth, "Intangible capital services, volume indices, 2010=100"
VA_G, contributions.to.value.added.growth, "Growth rate of value added volume, %, log"
VAConH, contributions.to.value.added.growth, "Hours worked, p.p."
VAConLC, contributions.to.value.added.growth, "Labour composition change, p.p."
VAConTangNICT, contributions.to.value.added.growth, "Tangible non-ICT capital services, p.p."
VAConTangICT, contributions.to.value.added.growth, "Tangible ICT capital services, p.p."
VAConIntangSoftDB, contributions.to.value.added.growth, "Intangible Software and databases capital services, p.p."
VAConIntangRD, contributions.to.value.added.growth, "Intangible R&D capital services, p.p."
VAConIntangOIPP, contributions.to.value.added.growth, "Intangible other intellectual property products (OIPP) capital services, p.p."
VAConTFP, contributions.to.value.added.growth, "TFP, p.p."
VATFP_I, contributions.to.value.added.growth, "TFP index, 2010=100"
LP1_G, contributions.to.value.added.per.hour.worked.growth, "Growth rate of value added per hour worked, %, log"
LP1ConLC, contributions.to.value.added.per.hour.worked.growth, "Labour composition change, p.p."
LP1ConTangNICT, contributions.to.value.added.per.hour.worked.growth, "Tangible non-ICT capital services, p.p."
LP1ConTangICT, contributions.to.value.added.per.hour.worked.growth, "Tangible ICT capital services, p.p."
LP1ConIntangSoftDB, contributions.to.value.added.per.hour.worked.growth, "Intangible Software and databases capital services, p.p."
LP1ConIntangRD, contributions.to.value.added.per.hour.worked.growth, "Intangible R&D capital services, p.p."
LP1ConIntangOIPP, contributions.to.value.added.per.hour.worked.growth, "Intangible other intellectual property products (OIPP) capital services, p.p."
LP1ConTFP, contributions.to.value.added.per.hour.worked.growth, "TFP, p.p."
LP1TFP_I, contributions.to.value.added.per.hour.worked.growth,   "TFP index, 2010=100"
LP2_G, contributions.to.value.added.per.person.employed.growth, "Growth rate of value added per person employed, %, log"
LP2ConLHE, contributions.to.value.added.per.person.employed.growth, "Hours worked per person employed, p.p."
LP2ConLC, contributions.to.value.added.per.person.employed.growth, "Labour composition change, p.p."
LP2ConTangNICT, contributions.to.value.added.per.person.employed.growth, "Tangible non-ICT capital services, p.p."
LP2ConTangICT, contributions.to.value.added.per.person.employed.growth, "Tangible ICT capital services, p.p."
LP2ConIntangSoftDB, contributions.to.value.added.per.person.employed.growth, "Intangible Software and databases capital services, p.p."
LP2ConIntangRD, contributions.to.value.added.per.person.employed.growth, "Intangible R&D capital services, p.p."
LP2ConIntangOIPP, contributions.to.value.added.per.person.employed.growth, "Intangible other intellectual property products (OIPP) capital services, p.p."
LP2ConTFP, contributions.to.value.added.per.person.employed.growth, "TFP, p.p."
LP2TFP_I, contributions.to.value.added.per.person.employed.growth, "TFP index, 2010=100"
